Kode_Dokumen,Judul,Penulis,Tahun_Terbit,Nama_Jurnal_Prosiding,Volume_Halaman,DOI,Bahasa,Basis_Data_Sumber,Afiliasi_Penulis_Pertama,Negara_Afiliasi,Asal_Peneliti,Kolaborasi,Total_Sitasi,Cite_per_Year,Author_Keywords,Index_Keywords,Tema_Utama,Subfield,Teori_Kerangka,Metode_Penelitian,Platform_yang_Dikaji,Kriteria_Inklusi,Alasan_Eksklusi,Referenced_Works,Abstrak
D205,The Disabled People Virtual Communities in Social Media from The Perspective of Public Sphere Theory,"Hasfi, Nurul; Rahardjo, Turnomo",2019,Jurnal Komunikasi Ikatan Sarjana Komunikasi Indonesia,"4(2), 65–76",10.25008/jkiski.v4i2.327,Inggris,OpenAlex,Diponegoro University,ID,Lokal,Lokal,7,1.0,Public sphere; Sociology; Normative; Social media; Public relations; Politics,Normative; Social media; Public relations; Politics; The Internet; Media studies; World Wide Web; Law,Aktivisme politik-elektoral,Komunikasi politik,Teori Ruang Publik (Habermas),Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W639533910;W755463925;W1413988451;W1972779705;W1983709547;W2100381608;W2154484108;W2204803575;W2294000126;W2611166685;W2617915315;W2954003372;W4248068082;W6622229810;W6635829923;W6645889440,"Many researches view the internet as a virtual public sphere or forum potential that provides a space for minority groups to voice their opinions. This article identifies the role of social media in creating political public sphere for voters with disabilities in Indonesia during Presidential Election in 2019. By applying the normative values provided by Public Sphere Theory and Sphere Public Subaltern Theory, this article determines various potentials as well as stumbling blocks of the internet as a virtual public sphere for internet users. Virtual ethnography method is used to determine the identity of virtual communities of disabled people on three most active social media platforms in Indonesia, namely Instagram, Facebook and Twitter. Virtual Ethnography enables researchers to conduct an online observation on virtual communities three months prior to the 2019 Presidential Election. The data findings help the researchers draw conclusion that social media has technically advocated the endeavor of the disabled people’s political rights equality, proven by the existence of disabled people’s virtual communities and the narratives of struggle for their political rights equality. However, the data has shown an inadequacy of disabled people’s virtual community to create dynamic inter-activities between its members as this community has not been able to reflect a public sphere that is able to build public opinion which effectively influences public policy."
D206,Online Social Movement: Adopsi Teknologi Informasi dalam Melakukan Gerakan Sosial di Indonesia,"Ismail, Ahmad; Munsi, Hardiyanti; Hans, Amril",2019,ETNOSIA Jurnal Etnografi Indonesia,"4(1), 91–114",10.31947/etnosia.v4i1.5039,Inggris,OpenAlex,,,Tidak diketahui,Multi-penulis (afiliasi tidak diketahui),7,1.0,Movement (music); Social movement; Context (archaeology); Online and offline; The Internet; Sociology,Movement (music); Context (archaeology); Online and offline; The Internet; Ethnography; Social media; Space (punctuation); Media studies; Internet privacy; World Wide Web; Law; Politics; Aesthetics; A,Digital activism (umum),Kajian internet & media,Teori Gerakan Sosial (Tarrow; McAdam; McCarthy),Etnografi / netnografi,WhatsApp/Telegram/Line,Dimasukkan,,W177690799;W582478364;W611803263;W2028786525;W2064582373;W2076413807;W2124055033;W2261029364;W2390777235;W2609280160;W3132646349;W3164306476;W6607183580;W6616950509;W6669289390;W6711300693;W6837419507,"This article aims to explain whether the social movements carried out on the internet are limitedto click activism or merely mere symbolic resistance, or even beyond that? The case of the social movement raised in this study is the Akademi Berbagi Movement based on the internet, especially social media. the movement that combines online and offline gives its own nuances in doing social movements. This study used a qualitative approach with the method of connected ethnography carried out for 5 months. From the results of the research, the Akademi Berbagi Movement is one of the forms of the birth of civil society. The movement that combines online and offline has provided the context, validation and attachment of more participation by volunteers in carrying out social movements, thus giving birth to what is called 'online social movements'. This also complements the concept that Nugroho (2011) refers to as ""click activism"", with the case of the movement raised in this study, social movements carried out on the internet exceed what is called click activism, and volunterism is done more than just being involved in movement online, but volunterism is also done in an offline context so that this movement is not just ""click"" but also provides real space for movement."
D207,KAMPANYE LGBT DI MEDIA SOSIAL FACEBOOK DAN WHATSAPP,"Juliani, Reni",2019,Jurnal Source Ilmu Komunikasi,4(2),10.35308/source.v4i2.920,Inggris,OpenAlex,Universitas Teuku Umar,ID,Lokal,Tunggal,7,1.0,Pride; Social media; Indonesian; Legalization; Sociology; The Internet,Pride; Social media; Indonesian; Legalization; The Internet; Media studies; Law; World Wide Web; Linguistics,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Facebook; WhatsApp/Telegram/Line,Dimasukkan,,W4329613;W2604986512;W2779855182;W2781629073;W2806245692;W2909935517,"Indonesia is a country where all religious leaders reject LGBT behavior. Due to the uncertainty about the fate of their existence, LGBT people are increasingly aggressively advocating for legal protection and LGBT legalization in Indonesia. Internet campaigns are mostly chosen by LGBT people as a media campaign for them. This can be seen from the rise of social media used by the Indonesian people, especially Facebook and Whatsapp. Based on the phenomenom described above, the researcher is trying to figure out how the campaigns are being conducted by LGBT people on Facebook and Whatsapp. This study used a library research method where the results showed that Facebook and Whatsapp were indeed social media followers of the LGBT campaign. Facebook and Whatsapp have their own LGBT group. The Facebook and Whatsapp chat pages also include emo, stickers and gifs with LGBT symbols such as rainbow colors, pride, gay words and other words and illustrations that lead to LGBT. Keywords: Campaign, LGBT, Facebook, Whatsapp."
D208,MENGELOLA HIBRIDASI IDENTITAS ANAK MUDA ISLAM: STUDI PADA LEMBAGA TERAS DAKWAH DI YOGYAKARTA,"Triantoro, Dony Arung; Saputra, Eko; Wahyuni, Tri",2019,Jurnal MD,"5(2), 113–139",10.14421/jmd.2019.52-01,Indonesia,OpenAlex,Universitas Islam Negeri Sultan Syarif Kasim Riau,ID,Lokal,Lokal,7,1.0,Humanities; Art,Humanities,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W630550504;W1987808422;W1989139841;W1993549969;W1995167318;W2039089578;W2073377051;W2128958599;W2134178647;W2142454816;W2148050085;W2497025470;W2604231719;W2817577553;W2899750398;W2906199713;W2908902841;W2910008450;W2941627930;W2955159549;W2978238086;W3021752549;W3161576998;W4235810213;W4301407881;W4408160636;W6672731948;W6757553359;W6768753701;W6982114470,"Berangkat dari fenomena anak-anak muda yang beragam identitasnya berkumpul dalam salah satu forum kajian dakwah di Yogyakarta, tulisan ini mencoba menelisik tentang bagaimana hibridasi identitas keislaman anak-anak muda itu dikelola dalam gerakan dakwah tertentu. Untuk mendapatkan gambaran yang komprehensif terkait permasalahan tersebut, artikel ini mengambil studi kasus pada lembaga Teras Dakwah di Yogyakarta yang secara masif menggelar kajian-kajian dakwah di kalangan anak muda. Data artikel ini diperoleh melalui kerja etnografi berupa observasi partisipan, komunikasi pribadi dan didukung dengan data-data online atau netnografi. Dari data yang diperoleh, artikel ini menunjukkan bahwa konsekuensi dari hibridasi identitas anak muda Islam pada gilirannya juga mengarah pada pengelolaan dakwah yang hybrid. Teras dakwah, misalnya, mereka mengelola dakwah dengan mengkolaborasikan antara Islam dan budaya populer.Kata Kunci: Hibridtitas, Anak Muda, Dakwah"
D209,PEMBERDAYAAN FILANTROPI DALAM MENINGKATKAN KESEJAHTERAAN WARGA MUHAMMADIYAH DI INDONESIA,"Nasution, Hasyimsyah; Irwan, Irwan; Samosir, Hasrat Efendi",2019,MIQOT Jurnal Ilmu-ilmu Keislaman,"43(2), 278–278",10.30821/miqot.v43i2.634,Indonesia,OpenAlex,Universitas Islam Negeri Sumatera Utara,ID,Lokal,Lokal-Internasional,7,1.0,Political science; Sociology; Business administration; Humanities; Business; Philosophy,Business administration; Humanities,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W612083691;W648252929;W1647223724;W2025585328;W2102999144;W2401604063;W2597386543;W2618664906;W2710422679;W2739434464;W2740767799;W2766363029;W2790351300;W2888622228;W2911551837;W2912550944;W2953362261;W2969686388;W3184478656;W3212835167;W4221112127;W4244636820;W6636809332;W6766725769;W6991443237,"Abstrak: Artikel ini bertujuan untuk menelaah motivasi, pengumpulan, dan pendistribusian dana filantropi di lingkungan Muhammadiyah. Studi ini merupakan hasil dari kerja lapangan, dimana data diperoleh melalui kegiatan wawancara, observasi dan studi dokumen terkait kerja filantropi organisasi Muhammadiyah di Sumatera Utara, Jawa Timur dan Yogyakarta. Studi ini menemukan bahwa salah satu faktor pendukung dalam melestarikan dan memperkukuh eksistensi Muhammadiyah adalah kegemaran pengurus dan warga organisasi ini melakukan karya-karya filantropi yang dilandasi oleh penghayatan terhadap ajaran Islam yang secara terus-menerus menjadi bagian dari ciri khasnya dan diletakkan secara terprogram melalui pengajian-pengajian terjadwal dan berlangsung secara terus menerus di setiap hierarki kepemimpinan organisasi. Abstract: Philanthropic Empowerment in Improving the Welfare of Muhammadiyah Members in Indonesia. This article aims to study the motivation, collection, and distribution of philanthropic funds in the organization of Muhammadiyah environment. This paper is the result of fieldwork, in which data is obtained through interview, observations and document studies related to the work of philanthropy organization of Muhammadiyah in North Sumatera, East Java and Yogyakarta. The study found that one of the supporting factors in preserving and maintaining stronger existence of Muhammadiyah is the willingness of of managers and the organizations to implement philanthropic works based on internalization of the Islamic teachings. This ethos has continuously become an integral part of its distinct features and have been interpreted into programs of scheduled study circles within every layer of organization’s leadership hierarchy. Kata Kunci: filantropi, kesejahteraan, Muhammadiyah, zakat, infak, sedekah"
D210,"PENGGUNAAN MEDIA SOSIAL DAN FAKTOR-FAKTOR YANG MEMPENGARUHI TERBENTUKNYA GERAKAN SOSIAL OLEH PEMIMPIN PELAJAR UNIVERSITI DI BANDAR PEKAN BARU, RIAU, INDONESIA","Hanafi, Khusnul; Rahim, Mohd Helmi Abd",2018,e-Bangi,14(2),,Indonesia,OpenAlex,,,Tidak diketahui,Multi-penulis (afiliasi tidak diketahui),7,0.9,Social media; Nonprobability sampling; Sociology; Psychology; Sample (material); Media studies,Social media; Sample (material); Media studies; Public relations; Social psychology; Demography; Population; Chromatography; Law,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,,"Social media is one of the medium that have a large role in today people's lives. Social media from time to time is more loved by the global community. Social media have various advantages as compared to other media. This study aims to look at the frequency of the use of social media by the executive students ’ group (BEM), the type of popular social media used by the executive students ’ group (BEM), issues and types of information that affect the formation of social movements in students’ democratic participation. The study conducted uses quantitative method of observation to a sample of 210 student leaders . The study sampling method was based on purposive random sampling. The analysis was done using version 23 of SPSS. The results of the study showed th at high level of social media use by the executive students group (BEM) on form ing the social movements. S ocial media such as Facebook, WhatsApp, Instagram, Twitter and Line are among the top used, in social movement activities. Issues like academic, politics, economy, religion and corruption are the top listed issues that contribute and have an effect to the group executive students (BEM) on form ing the social movements. A positive information is also the type of information that was chosen by the the group executive students ’ group (BEM) on forming the social movements. Implications of the study showed that the use of social media is very high to social movements among student leaders. Many issues are favourites to social movements’ activities. As a result, social media is considered to have played a large role on the student democratic participation."
D211,Media dan Keberagaman: Analisis Pemberitaan Media Daring Seputar Pemilihan Kepala Daerah DKI Jakarta,"Junaidi, Ahmad",2017,Jurnal Muara Ilmu Sosial Humaniora dan Seni,"1(1), 329–337",10.24912/jmishumsen.v1i1.373,Indonesia,OpenAlex,Tarumanagara University,ID,Lokal,Tunggal,7,0.8,Humanities; Political science; Art,Humanities,Aktivisme berbasis agama/identitas,Komunikasi agama & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W3162757250;W3165073234,"Media massa berfungsi sebagai alat penyampai informasi, edukasi, hiburan dan mobilisasi. Media massa juga sebagai alat penyampai pesan, ide-ide dan gagasan, seperti gagasan keberagaman. Indonesia semenjak kelahirannya didasarkan atas dasar keberagaman dari banyak aspek, misalnya suku dan agama. Media massa di Indonesia mengalami pasang surut sejak jaman kemerdekaan, demokrasi orde lama, orde baru dan sekarang memasuki era orde reformasi. Kebebasan mulai dirasakan oleh media massa, ketika dimulaiinya era reformasi. Banyak media-media baru tumbuh di era reformasi, termasuk diantaranya media daring (media online). Selain jumlah media massa, era reformasi ini ditandai dengan kebebasan pers, termasuk didalamnya kebebasan mengespresikan gagasan dan mengritik tajam lawan yang menentang gagasan. Kebebasan pers yang dinikmati media sekarang ini banyak dilaporkan telah melewati batas, terutama melanggar kode etik jurnalistik.Penelitian ini adalah penelitian kualitatif dengan menggunakan analisis wacana dengan mengambil obyek berita-berita seputar pemilihan kepala daerah (Pilkada) Daerah Khusus Ibukota (DKI) Jakarta.Penelitian ini ingin melihat pelanggaran kode etik yang dilakukan media daring dalam meliput Pilkada Jakarta dikaitkan isu keberagaman, khususnya isu agama.Penulis menemukan sejumlah pelanggaran kode etik jurnalistik dalam berita-berita seputar Pilkada Jakarta, terutama terkait penggunaan isu agama.Kata kunci: media massa, agama, pilkada, etik."
D212,GELIAT ORGANISASI PEMUDA LINGKUNGAN (OPL) DALAM RANAH GERAKAN LINGKUNGAN DI YOGYAKARTA,"Nugroho, Adityo",2017,Jurnal Sosiologi Agama,"9(1), 190–190",10.14421/jsa.2015.091-07,Indonesia,OpenAlex,,,Tidak diketahui,Tunggal,7,0.8,Humanities; Political science; Physics; Art,Humanities,Aktivisme lingkungan,Komunikasi lingkungan,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W581997751;W625817357;W1557643453;W2466025085;W3132961062;W6633313735,"Gerakan sosial telah bertransformasi menjadi Gerakan Sosial Baru (GSB), salah satunya adalah gerakan lingkungan. Gerakan lingkungan merupakan salah satu bentuk kegelisahan umat manusia atas berbagai permasalahan lingkungan. Salah satu aktor penggerak dalam upaya gerakan lingkungan adalah Organisasi Pemuda Lingkungan (OPL). OPL tumbuh dan berkembang di Indonesia untuk turut berperanserta aktif dalam kepedulian terhadap lingkungan. Berbagai kharakteristik unik dimiliki oleh OPL membedakannya dengan organisasi pemuda ataupun organisasi lingkungan lain.Yogyakarta menjadi salah satu kota di Indonesia yang memiliki populasi OPL terbesar. Tercatat ada 21 OPL aktif berkegiatan di kota ini, dengan segala keterbatasan sekaligus kelebihannya. Berbagai cara dilakukan OPL di Yogyakartauntuk dapat ikut berkontribusi dalam gerakan lingkungan, mulai dari sekedar pengkreator konsep, agen perubahan, ataupun pelaksana aksi di lapangan. Target grup dari aksi lingkungan OPL di Yogyakarta beragam dari anak-anak, kaum muda, komunitas, hingga publik.Kata Kunci: Gerakan Lingkungan, Organisasi Pemuda Lingkungan (OPL), Yogyakarta"
D213,PERAN JARINGAN SOSIAL PADA KAMPANYE LINGKUNGAN DI MEDIA SOSIAL: KASUS KAMPANYE MELAWAN ASAP,"Hariyani, Ika",2016,INFORMASI,"46(1), 87–87",10.21831/informasi.v46i1.9652,Inggris,OpenAlex,University of Indonesia,ID,Lokal,Tunggal,7,0.7,Alliance; Socialization; Haze; Social media; Sociology; Political science,Alliance; Socialization; Haze; Social media; Public relations; Advertising; Social science; Law; Meteorology,Aktivisme lingkungan,Komunikasi lingkungan,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W1492399818;W1713193336;W2621873327;W4391625975,"Campaigns nowadays are oftenly carried through social medias, including campaigns concerning the environment. Based on previous studies, effectivity of campaigns through social medias were affected by many factors, such as the activity of the online administrator, additional socialization that were carried off- line, and also the involvement of the active followers in social medias. However, this paper views environmental campaign in social medias could be effective if viewed from another side,that is social network. This study sees how social network can improve the effectivity of environmental campaigns in social medias,therefore it’s safe to say that this study brings an addition to previous studies related tofactors that influenced the effectivity of environmental campaigns that utilized social medias as a channel of communication. The method used for this paper is qualitative method, with case study on Melawan Asap (Fight the Haze) campaign initiated by BEM UI (Executive Board of Students of University of Indonesia) in 2015 to form an alliance consisting several organizations from inside and outside of the university. Collection of data for this study was done with in-depth interviews with certain informants, based on a criteria established previously by the author, beside an observation upon social media accounts that were used for Fight the Haze campaign. The result shows that the involvement of networks in social media affects the effectivity of Fight the Haze campaign. Also, the social relation between organizations that are united under the alliance of Fight the Haze campaign are based on sentimental network.Kampanye kian marak dilakukan dengan menggunakan media sosial, tidak terkecuali kampanye lingkungan. Berdasarkan kajian-kajian sebelumnya, keefektifan kampanye dengan menggunakan media sosial dipengaruhi oleh berbagai faktor seperti adanya administrator online yang aktif, adanya sosialisasi tambahan yang dilakukan secara offline, dan juga terlibatnya pengikut/followers di media sosial secara aktif. Namun, tulisanini melihat kampanye lingkungan di media sosial dapat efektif dari sisi lain yaitu dari jaringan sosial. Kajian ini melihat bagaimana jaringan sosial berperan dalam membuat efektif kampanye lingkungan di media sosial, sehingga dapat dikatakan bahwa kajian ini menambahkan penemuan dari kajian-kajian sebelumnya yang berbicara mengenai faktor yang membuat efektif kampanye lingkungan dengan menggunakan media sosial sebagai media komunikasinya. Metode yang digunakan dalam tulisan ini adalah metode kualitatif dengan studi kasus pada kampanye melawan asap yang diinisiatori oleh BEM UI 2015 untuk membentuk sebuah aliansi dengan menggandeng beberapa organisasi di UI dan juga dari luar UI. Pengambilan data dalam studi ini dilakukan melalui wawancara mendalam dengan informan- informan tertentu berdasarkan kriteria yang penulis tetapkan dan melakukan observasi terhadap akun media sosial yang digunakan untuk menyebarluaskan kampanye melawan asap. Hasil kajian ini menunjukkan bahwa keterlibatan peran jaringan di media sosial mempengaruhi efektifitas kampanye melawan asap, serta hubungan sosial antar organisasi yang tergabung dalam aliansi gerakan melawan asap terbentuk berdasarkan jaringan perasaan/sentiment."
D214,How far can men go? A study of the men's movement to end violence against women in Indonesia,"Hasyim, Nur",2014,Research Online (University of Wollongong),,,Inggris,OpenAlex,University of Wollongong,AU,Internasional,Tunggal,7,0.6,Ideology; Gender studies; Sociology; Movement (music); Politics; Dimension (graph theory),Gender studies; Movement (music); Politics; Dimension (graph theory); Law; Pure mathematics; Aesthetics,Aktivisme gender / feminisme digital,Kajian gender & komunikasi,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W168273867;W192240620;W285477001;W393588081;W572478777;W591736055;W978352172;W1539553817;W1598207277;W1763625260;W1845419176;W1902105305;W1952865162;W1965982430;W1983981789;W1994281359;W2009067766;W2016341207;W2031381081;W2035084565;W2040966966;W2057139867;W2063892604;W2095560901;W2100212081;W2100400386;W2104971230;W2117491599;W2129598873;W2132800184;W2134310663;W2136079802;W2145759075;W2146959151;W2167183507;W2262223246;W2337002970;W2477078023;W2504740124;W2994394399;W3125617323;W3143979668,"The presence of men in the movement to end violence against women and achieve gender equality has become a heated issue among activists and scholars worldwide, since on the one hand, it gives new hope for transforming the structure of dominance underpinning this violence, while on the other hand, it raises feminists’ concerns regarding its dilemmas and risks. The phenomenon of men who involve in the women’s movement emerged in Indonesia in the late 1990s and became a movement in early 2000. The growth of the pro-feminist men’s movement and the concerns about the risks of this movement are the reasons for writing this thesis. The main question is to what extent does the engagement of men strengthen the women’s movement for ending men’s violence against women? To answer this question, this thesis studies the New Men’s Alliance, a national pro-feminist men’s network in Indonesia. This thesis examines three elements of the Alliance: namely, its ideology, structure and practices, and the impact generated by the Alliance. The thesis applies a case study and evaluation research approach, which requires the development of benchmarks or frameworks as a basis for the analysis. The benchmarks comprise indicators and variables of the three elements outlined in the previous paragraph and criteria for the assessment of each indicator or category. The evaluation draws on methods of qualitative inquiry, including document study, focus group discussions and in-depth interviews. They are coded and analysed in accordance with the categories and criteria formulated within the framework. To enrich the discussion, other themes or categories that emerge from the data are also explored, although they are not formulated in the framework. This study reveals that the New Men’s Alliance clearly declares that it is part of the feminist movement, stating that it was “born from the womb of the feminist movement”. The political stance of the Alliance is also illustrated by the characteristics of its beliefs. Members of the Alliance believe in the feminist notion that “the personal is political”, blame the patriarchy for constructing rigid ideas of masculinity and femininity, believe that violence against women occurs due to an imbalanced power relation between men and women, and lastly, believe that men should be held responsible for the violence they use. However, the Alliance encounters challenges on how to sustain its ideology, due to the absence of a structured learning process for its members and inadequate media for introducing its values to its members and to the general public, especially men. In terms of organisational structure and practices, this thesis found the tendency of the New Men’s Alliance was to adopt an informal and non-hierarchical type of organisation by applying a simple structure with unspecified roles and responsibilities, which fits with feminist organisational principles. Moreover, the Alliance is also characterised by decision-making processes based on consensus. The political attachment and accountability of the New Men’s Alliance to the women’s movement are maintained through a consultative group that consists of five women’s organisations in Indonesia. The consultative group is actively involved in the implementation of the programmes of the Alliance. In fact, the consultative group members alternately serve as the host and secretariat of the Alliance’s programmes and activities. The New Men’s Alliance adopted this informal type of organisation and the involvement of the women’s groups as a strategy to lessen the dangers of men’s involvement in the movement aiming to end violence against women. By doing this, the New Men’s Alliance seeks to ensure that its movement is part of the women’s movement. Furthermore, the Alliance’s partnership with, and accountability to, women’s groups is also a strategy to avoid competition between the New Men’s Alliance and women’s groups in Indonesia when seeking funding support for programmes supporting the ending of violence against women and gender equality. However, the informal organisational character of the New Men’s Alliance leads to a number of challenges. Instead of establishing an egalitarian structure, a small number of key members of the New Men’s Alliance tend to control the organisation. Knowledge and power are not distributed equally among members, due to different access to the Alliance. The New Men’s Alliance also encounters difficulties in ensuring its principles and code of conduct are implemented by members, as the Alliance mainly relies on individual members’ commitments while the membership mechanism is not adequately organised. Regarding the impact of the New Men’s Alliance, this study found that the network has shown its ability to generate positive impact for the movement to end violence against women in Indonesia. For example, the Alliance has educated its members to be critical of their own sexism and to live with feminist values and principles, influenced the media, scholars and artists to consider the issue of men and masculinity as an integral part of violence against women and gender equality issues, and influenced more men to engage in its movements, whether in ‘virtual’ or ‘real’ activism, although it is still very small compared to the total population of Indonesian men. The Alliance has secured the provision of funding support for women’s and men’s programmes, and lastly, the Alliance, along with other groups, especially feminist groups, has influenced new policies at various levels regarding the prevention of violence against women and the achievement of gender equality in Indonesia. Overall, based on the assessment of three dimensions of the New Men’s Alliance and considering some conditions that need to be addressed, this thesis concludes that the Alliance moderately strengthens the movement for ending violence against women in Indonesia."
D215,Narasi Kebangsaan di Era Media Sosial: Relevansi Pancasila dalam Ekosistem Digital,"Hidayat, Nurul",2025,PACIVIC Jurnal Pendidikan Pancasila dan Kewarganegaraan,"5(1), 105–118",10.36456/p.v5i1.10183,Indonesia,OpenAlex,Pancasila University,ID,Lokal,Tunggal,6,6.0,Psychology,,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W2045923296;W2936514494;W2964523010;W3089321834;W3093315352;W3126958816;W4224663365;W4328029222;W4381687978;W4387272997;W4390923279;W4398251138;W4399298280;W4401153159;W4401828417;W4404199364;W4405294470;W4408095245;W4409384494;W4409816716;W4409835235;W4414743964;W6604755650;W6732322624;W6930760574,"Era digital telah merevolusi pola komunikasi masyarakat Indonesia, khususnya melalui media sosial yang kini menjadi arena utama pembentukan identitas dan narasi kebangsaan. Pancasila sebagai ideologi bangsa, menghadapi tantangan serius dalam ekosistem digital yang sarat dengan hoaks, ujaran kebencian, dan polarisasi. Penelitian ini menggunakan pendekatan literature review dengan menganalisis artikel dari jurnal terakreditasi SINTA dan Scopus terbitan 2019-2024 serta dokumen relevan lainnya. Hasil kajian menunjukkan bahwa media sosial memiliki peran ganda yang sebagai ruang potensial penyemaian nilai-nilai Pancasila, sekaligus ladang subur bagi praktik komunikasi yang bertentangan dengan semangat persatuan, kemanusiaan, dan keadilan sosial. Rendahnya literasi digital dan lemahnya aspek integrasi nilai Pancasila dalam pendidikan kewargaan yang menjadi faktor utama degradasi etika digital. Namun demikian, peluang tetap terbuka melalui strategi kolaboratif, seperti penguatan literasi digital berbasis nilai, pemanfaatan konten-konten kreatif serta sinergi antara negara, masyarakat, dan platform digital. Relevansi Pancasila di ruang siber hanya dapat dijaga jika nilai-nilainya dihidupkan dalam praktik komunikasi daring yang reflektif, inklusif, dan partisipatif. Dengan demikian, media sosial yang tidak hanya menjadi tantangan bagi ideologi bangsa, tetapi juga ruang strategis untuk merevitalisasi Pancasila secara kontekstual dan berkelanjutan."
D216,Identity Politics Approaching the 2024 Election through Social Media Through Sociology of Religion Perspective,"Majid, Abdul; Amirulkamar, Said",2023,Journal of Governance and Public Policy,"10(3), 274–287",10.18196/jgpp.v10i3.18088,Inggris,OpenAlex,Universitas Islam Negeri Ar-Raniry,ID,Lokal,Lokal,6,2.0,Politics; Sociology; Identity (music); Legitimacy; Resistance (ecology); Identity politics,Politics; Identity (music); Resistance (ecology); Vision; Social science; Media studies; Public relations; Law; Social group; Acoustics; Anthropology; Ecology,Aktivisme lingkungan,Komunikasi lingkungan,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W2033815440;W2557781873;W2791890393;W2901694570;W2913009281;W2921148875;W2944936251;W3044922809;W3048851782;W3089150378;W3189177473;W4230368206;W4385721232,"Towards the democratic party in Indonesia, identity politics has become a tool used for political campaigns to influence voters. The focus and purpose of this study are to analyze the dynamics of identity politics approaching the 2024 elections through social media from the sociology of religion perspective. This study used the theory of identity politics put forward by Manuel Castells (2007). The method used was a descriptive qualitative approach. Data sources were obtained through websites, journals and social media. Data analysis techniques used content analysis techniques and Nvivo 12 plus analysis techniques. The results showed a review of Manuel Castells’ theory (2007) regarding legitimacy, resistance, and project identity. Political parties are building good track records and campaigning on platforms that can meet voters' expectations, the concept of ""resistance identities"" for the 2024 elections. Groups of people who feel dissatisfied with government policies or their representatives can articulate their ""resistance"" identities, including ethnic, religious, or cultural groups that feel neglected and ""project identities."" Political parties and candidates can also try to build ""project"" identities by offering concrete visions and programs that focus on solutions to concrete problems faced by society."
D217,Nurturing Political Engagement: Political Communication Strategies for Generation Z in the Lead-up to the 2024 Election in West Java,"Dewi, Evie Ariadne Shinta; Arifin, Hadi Susilo; Fuadi, Ikhsan",2023,The Journal of Society & Media,"7(2), 370–388",10.26740/jsm.v7n2.p370-388,Inggris,OpenAlex,Padjadjaran University,ID,Lokal,Lokal,6,2.0,Politics; Java; Lead (geology); Political science; Political communication; Federal election,Politics; Java; Lead (geology); Law; Operating system; Geomorphology,Aktivisme politik-elektoral,Komunikasi politik,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W1546886084;W2030398623;W2041211442;W2401442691;W2892696976;W2901060100;W2964003645;W2970785670;W2981712521;W3015418323;W3093953736;W3109825150;W3122475501;W3161803803;W3209387162;W4205982998;W4226345130;W4285731337;W4299798445;W4366780459;W4386034076;W6784547741;W7029411102,"President Joko Widodo stated that in 2045, Generation Z (gen-Z) will change the face of Indonesian politics. The demographics of Generation Z in significant numbers will influence the direction of Indonesian politics due to their ability to control election votes. Gen-Z, which has grown up with the development of technology and is vulnerable to the impact of misinformation, disinformation, and misinformation, must be strengthened through political education. For this goal, parties and KPU need to devise new strategies for younger generations. Data was collected from political party leaders and KPU commissioners in West Java through questionnaires and in-depth interviews. The results show that Gen-Z West Java is an active social media user, the time spent every day is on average above four hours (46.2%), with the choice of the top four platforms, WhatsApp (94.2%), Instagram (89.7%), Youtube (69.9%), Tiktok (66.7%) and Facebook (44.8%). Gen-Z prefers research, podcasts, memes, and political humor for political communication. However, regional KPU staff and political parties struggle to meet their needs for voter education mediaApproximately 80% of Gen-Z in West Java plan to vote in the 2024 elections. KPU and political parties need skilled Content Creators to engage Gen-Z and encourage their participation in elections."
